NENTREVI;TIPORELI;prelig;impdio;configle;misa;dios;vidadesp;infierno;pecado;homosex;prostit;aborto;divorcio;eutana;suicid;INDIVIDU;Material;postmat;ideolog;ideolor;SEXO;ecivil;edad;estudi;ocupac;clase
862;2.00;1;7;2;2;1.00;1.00;2.00;1.00;1;1;1;5;1;1;-1.17795;0.10516;1;4;1.00;2;1;23.00;15;99;4
863;1.00;1;8;1;1;1.00;1.00;1.00;1.00;1;1;1;6;1;1;-0.63194;0.20633;1;5;2.00;2;1;45.00;17;99;3
869;1.00;1;6;1;1;1.00;1.00;1.00;1.00;1;2;2;5;1;1;-1.35326;-0.51480;2;99;4.00;1;6;46.00;21;3;1
874;3.00;1;99;3;2;1.00;1.00;2.00;2.00;3;3;2;10;1;1;-1.07042;0.17886;1;3;1.00;1;1;47.00;12;8;4
875;4.00;2;99;3;3;2.00;1.00;2.00;2.00;1;1;4;6;1;1;0.10606;-0.87813;2;99;4.00;2;1;46.00;20;99;2
877;1.00;1;9;1;1;1.00;1.00;1.00;1.00;1;1;1;2;1;1;-1.07042;0.17886;1;5;2.00;2;5;69.00;14;99;3
879;2.00;1;99;2;2;1.00;2.00;2.00;2.00;1;1;1;1;1;1;-1.22105;0.39760;1;5;2.00;2;5;43.00;15;11;4
881;2.00;1;8;3;1;1.00;1.00;1.00;1.00;5;2;2;5;2;2;0.52245;-0.76507;2;99;4.00;2;6;19.00;21;99;3
882;4.00;2;7;4;3;1.00;2.00;2.00;2.00;4;4;3;7;1;1;1.59303;-0.93030;3;1;1.00;1;6;23.00;21;2;2
890;1.00;2;5;2;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-1.38167;-0.27635;1;99;4.00;1;1;52.00;13;8;3
893;4.00;2;4;3;1;1.00;1.00;2.00;2.00;1;4;1;5;1;1;-1.23104;-0.49510;1;99;4.00;1;1;33.00;15;2;3
896;1.00;99;6;2;1;1.00;1.00;1.00;1.00;4;4;1;5;1;3;-1.23104;-0.49510;1;99;4.00;2;6;19.00;16;99;2
899;4.00;99;5;3;2;1.00;1.00;1.00;1.00;4;4;4;7;3;3;-0.58965;-0.73240;2;4;1.00;2;6;25.00;16;99;4
912;1.00;1;8;2;1;1.00;1.00;1.00;1.00;4;3;1;5;1;1;-0.75035;-0.34765;1;5;2.00;2;6;23.00;17;99;1
916;1.00;1;9;1;1;1.00;1.00;2.00;1.00;1;1;1;1;1;1;-0.30432;0.91183;1;99;4.00;1;6;27.00;17;5;2
920;1.00;1;8;1;1;1.00;2.00;2.00;1.00;1;1;1;1;1;1;-1.26746;0.29247;1;99;4.00;2;5;63.00;12;9;3
921;3.00;1;9;4;3;1.00;1.00;1.00;1.00;1;1;1;1;1;1;0.90854;-0.40057;2;4;1.00;2;6;19.00;17;99;3
922;2.00;1;5;3;1;1.00;1.00;1.00;1.00;4;3;6;4;1;1;0.14301;0.60390;1;7;3.00;1;6;24.00;21;99;1
923;1.00;1;8;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-1.21304;-0.23409;1;99;4.00;2;1;43.00;13;99;2
924;3.00;1;8;3;2;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-1.23104;-0.49510;1;99;4.00;2;1;18.00;16;99;3
933;1.00;1;10;1;1;1.00;1.00;1.00;1.00;5;1;1;5;1;1;-0.07288;-0.04276;1;8;3.00;1;1;60.00;15;5;2
944;4.00;2;3;3;3;1.00;1.00;2.00;2.00;6;2;4;7;5;1;2.04562;-0.85498;3;1;1.00;2;6;24.00;21;99;4
946;1.00;1;8;2;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;1.04909;3.42660;2;4;1.00;1;1;52.00;16;3;1
949;4.00;2;2;4;3;2.00;2.00;2.00;2.00;3;2;3;5;5;3;1.20670;-1.48381;3;4;1.00;1;1;30.00;21;3;1
959;4.00;2;2;4;3;1.00;2.00;2.00;2.00;1;1;4;6;1;1;2.22856;-1.01645;3;4;1.00;1;6;19.00;21;99;2
960;1.00;1;10;2;1;1.00;1.00;1.00;1.00;1;1;1;1;4;1;1.15375;0.03580;3;4;1.00;1;1;40.00;21;1;1
963;2.00;2;5;2;2;1.00;1.00;2.00;2.00;2;1;4;5;6;1;0.05425;-0.89128;2;6;3.00;1;1;45.00;21;2;1
965;1.00;1;9;1;1;1.00;1.00;2.00;1.00;1;1;3;3;6;1;0.55247;0.53108;1;99;4.00;1;1;69.00;21;3;1
966;1.00;1;8;2;1;1.00;1.00;2.00;1.00;1;1;1;5;1;1;-1.00849;-0.20260;1;99;4.00;2;6;19.00;18;10;3
967;1.00;1;7;2;1;1.00;1.00;2.00;1.00;1;1;3;6;6;2;1.05710;0.80856;1;99;4.00;2;1;66.00;16;99;1
969;2.00;1;6;99;1;1.00;1.00;1.00;1.00;3;6;2;8;8;1;-0.63322;-0.38077;1;8;3.00;2;1;27.00;21;3;1
973;4.00;2;7;3;2;1.00;1.00;2.00;2.00;5;1;5;10;8;5;0.57802;-1.10295;3;99;4.00;2;6;22.00;18;99;3
974;1.00;1;5;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-1.32056;-0.30779;1;99;4.00;2;6;21.00;15;99;3
977;1.00;2;8;1;1;1.00;1.00;1.00;1.00;1;1;1;3;1;1;0.11832;-0.23481;2;7;3.00;1;6;25.00;21;99;1
986;4.00;2;3;3;2;1.00;2.00;2.00;2.00;5;5;4;5;1;1;-0.13487;0.60407;1;6;3.00;1;1;47.00;21;2;1
989;1.00;1;8;1;1;1.00;1.00;1.00;2.00;2;2;1;2;1;1;-1.24606;-0.75787;9;5;2.00;2;5;71.00;17;99;2
991;1.00;1;10;2;1;1.00;1.00;1.00;1.00;1;1;1;8;3;1;-0.27040;-0.90888;2;8;3.00;2;1;51.00;16;99;1
992;4.00;2;2;4;3;1.00;2.00;2.00;1.00;4;4;4;10;10;99;-0.37297;-0.28874;1;6;3.00;1;4;45.00;21;3;2
1.000;2.00;1;6;4;1;1.00;1.00;2.00;2.00;2;7;7;7;7;3;0.56821;2.11448;2;8;3.00;1;1;46.00;14;6;4
1.001;4.00;2;2;4;2;1.00;2.00;2.00;2.00;8;3;5;8;6;4;0.74246;-1.08684;2;5;2.00;1;6;19.00;21;99;1
1.005;4.00;2;3;3;2;1.00;2.00;2.00;2.00;1;1;2;2;1;1;-0.02066;-0.16348;2;4;1.00;1;5;73.00;14;7;4
1.012;4.00;99;2;3;3;1.00;2.00;2.00;2.00;1;4;1;8;2;2;1.67149;0.34782;2;2;1.00;1;1;55.00;12;8;4
1.015;4.00;2;4;4;3;1.00;2.00;2.00;2.00;5;6;4;8;2;3;-0.04460;-0.29351;2;4;1.00;1;6;19.00;21;99;3
1.017;1.00;1;7;2;1;1.00;2.00;2.00;2.00;5;5;6;7;6;9;0.81647;0.23488;2;6;3.00;2;6;23.00;21;99;2
1.018;4.00;2;5;4;3;2.00;2.00;2.00;2.00;2;2;6;10;9;2;-0.53607;-0.45742;9;5;2.00;1;6;25.00;21;99;2
